,Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,liveness,Loudness,Speechiness,Tempo,Time_signature,Key,Duration_ms,Mode,Speechiness.1,Valence
31,She Talks To Angels,Shake Your Money Maker,The Black Crowes,1990-02-13,329400,1,0.06,0.584,0.521,7.56e-05,0.22,-5.782,0.0295,160.058,0,8,329400,1,0.0295,0.317
32,From a Distance,Some People's Lives,Bette Midler,1990,276346,1,0.674,0.536,0.242,0.0,0.331,-11.716,0.0277,137.989,0,4,276346,1,0.0277,0.331
33,Happening All Over Again,Bad Mood,Lonnie Gordon,1993-01-01,211093,0,0.0208,0.674,0.947,0.000703,0.266,-7.959,0.0521,121.823,0,4,211093,1,0.0521,0.783
34,Sacrifice,Sleeping With The Past (Remastered with bonus tracks),Elton John,1989-08-29,304133,1,0.0165,0.756,0.422,0.00183,0.0368,-12.967,0.0292,112.751,0,10,304133,0,0.0292,0.487
35,What Time Is Love? - Live at Trancentral,Solid State Logik 1,The KLF,2021-01-01,235851,0,0.00233,0.642,0.88,3.07e-05,0.916,-5.216,0.134,120.099,0,7,235852,1,0.134,0.576
36,Vision of Love,Mariah Carey,Mariah Carey,1990-06-12,209293,1,0.433,0.256,0.464,0.0,0.121,-10.959,0.0382,205.362,2,11,209293,1,0.0382,0.355
37,Unskinny Bop,Flesh & Blood,Poison,1990,228066,1,0.0657,0.574,0.93,7.78e-06,0.108,-2.949,0.0413,92.303,0,7,228067,1,0.0413,0.69
38,I Promised Myself,Move Until We Fly,Nick Kamen,1990,240773,1,0.00424,0.581,0.801,0.00171,0.0326,-12.282,0.0306,128.179,0,5,240773,1,0.0306,0.692
39,"Blaze Of Glory - From ""Young Guns II"" Soundtrack",Blaze Of Glory,Jon Bon Jovi,1990-01-01,335240,1,0.0564,0.55,0.618,2.62e-05,0.0937,-9.822,0.0307,78.61,0,4,335240,1,0.0307,0.429
40,Killer,Doctor Adamski’s Musical Pharmacy,Adamski,1990-01-01,250760,1,0.0241,0.785,0.546,0.0681,0.0547,-13.945,0.0587,119.983,0,9,250760,0,0.0587,0.766
41,Suicide Blonde,X (Remastered),INXS,1990,232626,1,0.00228,0.612,0.962,0.00896,0.123,-5.36,0.0897,119.962,0,8,232627,0,0.0897,0.694
42,Get Here,Circle Of One,Oleta Adams,1990-01-01,274693,1,0.75,0.478,0.221,0.0,0.131,-16.046,0.0332,107.225,0,9,274693,1,0.0332,0.247
43,Don't Worry,Kim Appleby,Kim Appleby,1990,210933,0,0.0341,0.683,0.842,2.98e-05,0.193,-7.962,0.027,123.209,0,9,210933,0,0.027,0.861
44,Moneytalks,The Razors Edge,AC/DC,1990-09-24,225946,1,0.000841,0.649,0.903,0.000351,0.122,-3.677,0.0318,121.841,0,4,225947,1,0.0318,0.412
45,Someday,Mariah Carey,Mariah Carey,1990-06-12,246106,0,0.207,0.684,0.818,2.19e-06,0.0251,-8.686,0.0405,109.864,0,7,246107,0,0.0405,0.937
46,Praying for Time,Ladies And Gentlemen... The Best Of George Michael,George Michael,1998-11-09,281333,0,0.0221,0.573,0.797,0.00613,0.086,-8.451,0.0312,127.856,0,9,281333,1,0.0312,0.213
47,U Can't Touch This,Please Hammer Don't Hurt 'Em,MC Hammer,1990-02-20,257360,1,0.00456,0.867,0.517,0.000339,0.0864,-13.222,0.0875,133.148,0,10,257360,0,0.0875,0.866
48,Impulsive,Wilson Phillips,Wilson Phillips,1990-05-08,274266,0,0.171,0.657,0.76,0.00551,0.224,-8.613,0.0298,107.872,0,8,274267,1,0.0298,0.71
49,Promise Me,Beverley Craven,Beverley Craven,1990-07-09,217360,1,0.753,0.46,0.232,0.0,0.0934,-14.729,0.0307,124.176,0,7,217014,1,0.0307,0.293
50,Something To Believe In - Remastered,Flesh & Blood,Poison,1990,328360,1,0.266,0.52,0.711,1.09e-05,0.148,-5.009,0.0386,133.947,0,11,328360,1,0.0386,0.226
51,Close To You,Bonafide,Maxi Priest,1990-01-01,325800,1,0.0849,0.781,0.478,3.93e-06,0.0877,-15.427,0.0561,95.992,0,7,325800,1,0.0561,0.962
52,The Power,World Power,SNAP!,1990-01-01,228993,1,0.0434,0.74,0.88,0.00803,0.341,-7.693,0.0624,108.899,0,11,228994,1,0.0624,0.707
53,Cradle Of Love,Charmed Life,Billy Idol,1990-05-01,281466,1,0.0163,0.612,0.942,3.9e-06,0.0909,-4.588,0.0399,144.038,0,11,281467,1,0.0399,0.622
54,I'm Free,20 Golden Greats,The Soup Dragons,2012,211693,0,0.0973,0.645,0.931,2.49e-05,0.0739,-6.041,0.0752,103.273,0,4,211693,1,0.0752,0.876
55,Epic,The Real Thing,Faith No More,1989,293653,1,0.0222,0.358,0.893,0.0524,0.126,-7.486,0.12,174.238,0,8,293653,0,0.12,0.262
56,Pictures Of You - Remastered,Disintegration (Deluxe Edition),The Cure,1989-05-02,448306,1,0.00325,0.476,0.764,0.112,0.138,-6.454,0.032,171.903,0,5,448307,1,0.032,0.545
57,Here I Am / Small Axe (Come And Take Me),Labour Of Love II,UB40,1989-01-01,256933,0,0.0758,0.816,0.44,0.00829,0.0489,-14.322,0.0452,95.87,0,11,256933,0,0.0452,0.693
58,Do You Remember? - 2016 Remaster,...But Seriously (Deluxe Edition),Phil Collins,1989-11-20,276000,1,0.117,0.677,0.5,0.0109,0.0648,-7.839,0.0248,93.051,0,11,276000,1,0.0248,0.525
59,Candy,Brick By Brick,Iggy Pop,1990-06-01,253493,1,0.0414,0.624,0.585,2.08e-05,0.0467,-10.812,0.03,144.251,0,4,253493,1,0.03,0.646
60,I'm Your Baby Tonight,I'm Your Baby Tonight,Whitney Houston,1990-11-04,299426,1,0.303,0.665,0.899,2.21e-06,0.445,-7.75,0.0877,165.16,2,7,299427,1,0.0877,0.873
61,Love Will Lead You Back,Can't Fight Fate (Expanded Edition),Taylor Dayne,1989-10-07,277600,1,0.201,0.547,0.513,0.0,0.0866,-7.006,0.0267,73.214,0,7,277600,1,0.0267,0.2
62,Groovy Train,Spartacus,The Farm,1991-03-04,251933,0,0.00504,0.58,0.966,0.0118,0.111,-7.278,0.0593,115.806,0,4,251933,1,0.0593,0.704
63,Round and Round - Soul Mix Edit,T.E.V.I.N.,Tevin Campbell,1991,293053,0,0.00335,0.79,0.591,0.00733,0.0338,-8.805,0.0935,107.197,0,4,293053,1,0.0935,0.725
64,Crying in the Rain,"East of the Sun, West of the Moon",a-ha,1990-10-27,260226,1,0.436,0.394,0.547,0.000111,0.344,-9.276,0.0383,181.74,0,8,260227,1,0.0383,0.151
65,Step On - 2007 Remaster,Pills 'N' Thrills And Bellyaches (Collector's Edition),Happy Mondays,1990-01-01,318506,1,1.12e-05,0.595,0.889,0.551,0.118,-7.163,0.0332,105.153,0,4,318507,1,0.0332,0.45
66,Lily Was Here (feat. Candy Dulfer),Saxuality,Candy Dulfer,1990-06-08,260200,1,0.398,0.743,0.564,0.0485,0.0802,-10.698,0.0277,108.027,0,8,260200,0,0.0277,0.967
67,Dub Be Good To Me,100 Store 90'er Hits,Various Artists,2016-07-15,239600,0,0.000836,0.869,0.483,0.0738,0.146,-9.863,0.0409,95.881,0,11,239600,1,0.0409,0.621
68,Wicked Game,Heart Shaped World,Chris Isaak,1989-06-13,289066,0,0.688,0.661,0.3,0.0118,0.0839,-18.055,0.0294,112.327,0,5,289067,1,0.0294,0.359
69,Fascinating Rhythm,Set The Controls For The Heart Of The Bass,Bass-o-Matic,1990-01-01,248426,0,0.00203,0.736,0.636,0.413,0.291,-12.96,0.0594,101.645,0,7,248427,1,0.0594,0.766
70,Tonight,Step By Step,New Kids On The Block,1990-06-04,207466,1,0.103,0.469,0.386,1.2e-05,0.291,-12.112,0.0272,102.476,0,8,207467,1,0.0272,0.383
71,I can't stand it,Streetmoves (Album),Twenty 4 Seven,1989,249412,0,0.00212,0.695,0.829,0.000242,0.307,-12.61,0.0494,122.783,0,7,249413,1,0.0494,0.965
72,Rhythm Of Life,Circle Of One,Oleta Adams,1990-01-01,259666,1,0.0878,0.624,0.585,0.0123,0.074,-12.884,0.0454,89.383,0,9,259667,0,0.0454,0.691
73,Rub You The Right Way,Johnny Gill,Johnny Gill,1990,333800,0,0.0163,0.667,0.874,0.00246,0.322,-6.937,0.0441,111.871,0,9,333800,1,0.0441,0.865
74,Play That Funky Music,To The Extreme,Vanilla Ice,1990-01-01,285800,0,0.000928,0.851,0.514,3.58e-06,0.381,-15.279,0.165,100.425,0,8,285800,0,0.165,0.573
75,Ooops Up,World Power,SNAP!,1990-01-01,402214,0,0.00845,0.862,0.493,0.0,0.26,-14.19,0.102,102.887,0,8,402215,0,0.102,0.533
76,This House,Make The Difference,Tracie Spencer,1990-01-01,306533,0,0.0303,0.74,0.738,0.00406,0.0324,-9.849,0.0399,112.589,0,7,306533,0,0.0399,0.971
77,Still Got The Blues,Still Got The Blues,Gary Moore,1990-01-01,370866,1,0.257,0.189,0.39,0.000152,0.122,-14.497,0.0353,169.563,2,5,370867,0,0.0353,0.32
78,Come Back To Me,Rhythm Nation 1814,Janet Jackson,1989-09-19,332840,0,0.595,0.437,0.396,0.0188,0.142,-13.083,0.0265,77.906,0,11,332840,0,0.0265,0.0648
79,Get A Life,Volume II - 1990 A New Decade,Soul II Soul,1990-01-01,224173,0,0.00321,0.761,0.715,0.0989,0.0484,-11.699,0.0669,101.132,0,9,224173,0,0.0669,0.715
80,Oh Girl,Other Voices (Expanded Edition),Paul Young,1990,216373,1,0.267,0.57,0.575,0.0,0.0823,-7.032,0.0318,135.903,0,5,216373,1,0.0318,0.421
81,Fantasy,Dreamland,Black Box,1990-04-09,312986,1,0.00692,0.713,0.664,0.00184,0.163,-9.095,0.046,98.102,0,4,312987,0,0.046,0.49
82,Got To Have Your Love,This Should Move Ya,Mantronix,1990-01-01,383333,0,0.179,0.763,0.505,0.00107,0.0497,-13.669,0.0753,105.632,0,9,383333,0,0.0753,0.96
83,The Only One I Know,Some Friendly,The Charlatans,1990-10-08,238120,0,0.0685,0.543,0.572,0.00119,0.0823,-13.124,0.0317,113.312,0,11,238120,1,0.0317,0.533
84,Hear The Drummer (Get Wicked) - Radio Edit,Hear The Drummer (Get Wicked),Chad Jackson,1990-05-23,224066,0,0.00206,0.672,0.956,0.0469,0.0436,-8.203,0.0727,108.3,0,9,224067,0,0.0727,0.652
85,Forever,Hot In The Shade,KISS,1989-01-01,232640,1,0.254,0.435,0.666,1.4e-05,0.0541,-10.596,0.031,176.431,0,7,232640,1,0.031,0.566
86,Hold On,Born to Sing,En Vogue,1990-04-03,304466,1,0.0865,0.728,0.464,0.0,0.343,-11.156,0.0605,96.944,0,7,304467,1,0.0605,0.383
87,Everybody Everybody,Dreamland,Black Box,1990-04-09,247001,1,0.00363,0.712,0.785,6.95e-06,0.0878,-6.418,0.0386,117.643,0,11,247002,0,0.0386,0.975
88,Alright,Rhythm Nation 1814,Janet Jackson,1989-09-19,386506,0,0.0921,0.668,0.881,0.575,0.557,-7.851,0.0353,111.722,0,10,386507,1,0.0353,0.964
89,Get Up (Before The Night Is Over),Pump Up The Jam,Technotronic,1989,337093,1,0.00418,0.79,0.727,0.000162,0.0628,-11.84,0.105,123.958,0,7,337093,0,0.105,0.67
90,Policy of Truth,Violator (Deluxe),Depeche Mode,1990-03-19,293986,1,0.0121,0.686,0.644,0.203,0.126,-7.286,0.0276,114.203,0,7,293987,1,0.0276,0.372
91,Have You Seen Her,Please Hammer Don't Hurt 'Em,MC Hammer,1990-02-20,282800,0,0.207,0.775,0.378,5.3e-06,0.107,-14.892,0.102,144.16,0,7,282800,0,0.102,0.86
92,Can't Stop,After 7,After 7,1989-01-01,247906,0,0.245,0.727,0.811,1.22e-05,0.192,-11.547,0.0385,97.098,0,11,247907,0,0.0385,0.808
93,Poison,Poison (Expanded Edition),Bell Biv DeVoe,1990-03-20,261866,1,0.00179,0.815,0.587,0.0193,0.645,-10.161,0.237,111.762,0,7,261867,0,0.237,0.754
94,"My, My, My",Johnny Gill,Johnny Gill,1990,322266,0,0.0901,0.544,0.598,0.0,0.0653,-10.324,0.0543,74.024,0,11,322267,1,0.0543,0.63
95,Around The Way Girl,Mama Said Knock You Out (Deluxe Edition),LL Cool J,1990-08-27,246533,1,0.00435,0.608,0.669,0.0109,0.337,-10.834,0.335,202.062,0,7,246533,0,0.335,0.679
96,Enjoy the Silence,Violator (Deluxe),Depeche Mode,1990-03-19,372866,1,0.355,0.382,0.593,0.0174,0.123,-11.964,0.0323,113.002,0,11,372867,0,0.0323,0.223
97,I Still Haven't Found What I'm Looking For,Love Songs,Various Artists,2009-01-29,242013,0,0.125,0.614,0.476,2.55e-06,0.069,-11.727,0.0492,87.673,0,7,242013,1,0.0492,0.784
98,Justify My Love,The Immaculate Collection,Madonna,1990-11-09,302840,0,0.00213,0.698,0.662,0.703,0.047,-12.58,0.111,99.661,0,7,302840,1,0.111,0.503
99,Infinity,Infinity,Guru Josh,1990-10-17,241506,1,0.00504,0.609,0.762,0.877,0.183,-13.992,0.0416,125.117,0,4,241507,0,0.0416,0.228
100,Losing My Religion,Out Of Time (25th Anniversary Edition),R.E.M.,1991-03-12,268426,1,0.179,0.666,0.855,1.2e-06,0.0987,-5.051,0.0295,125.639,0,5,268427,0,0.0295,0.803
101,Wind Of Change,Crazy World,Scorpions,1990-01-01,312360,1,0.315,0.452,0.524,0.0,0.103,-10.108,0.0351,151.505,0,11,312360,1,0.0351,0.246
102,Let's Talk About Sex,Blacks' Magic,Salt-N-Pepa,1990-01-01,213266,1,0.0507,0.863,0.543,0.0,0.241,-13.497,0.13,106.929,0,7,213267,1,0.13,0.799
103,Smells Like Teen Spirit,Nevermind (Deluxe Edition),Nirvana,1991-09-26,301920,0,2.55e-05,0.502,0.912,0.000173,0.106,-4.556,0.0564,116.761,0,7,301920,1,0.0564,0.72
104,More Than Words,Extreme II - Pornograffitti,Extreme,1990-01-01,334040,1,0.452,0.623,0.127,0.0,0.114,-14.935,0.0306,91.625,0,7,334040,1,0.0306,0.237
105,Learning To Fly,Into The Great Wide Open,Tom Petty and the Heartbreakers,1991-01-01,242106,1,0.206,0.651,0.766,0.00103,0.362,-9.935,0.0299,116.74,0,11,242107,1,0.0299,0.949
106,Don't Let the Sun Go Down on Me,Ladies & Gentlemen,George Michael,1998-11-09,346813,1,0.494,0.435,0.547,0.0,0.544,-8.092,0.0287,135.453,0,11,346813,1,0.0287,0.26
107,Shiny Happy People,Out Of Time (25th Anniversary Edition),R.E.M.,1991-03-12,225786,1,0.0313,0.452,0.909,0.0603,0.23,-3.977,0.0366,124.623,0,5,225787,1,0.0366,0.805
108,Rhythm of My Heart,Vagabond Heart (Expanded Edition),Rod Stewart,1991,254866,1,0.0621,0.582,0.54,0.0,0.178,-11.021,0.0321,94.955,0,7,254867,1,0.0321,0.433
109,I Touch Myself,Divinyls,Divinyls,1991-01-01,227640,1,0.181,0.66,0.711,7.47e-06,0.0647,-10.211,0.0334,109.328,0,11,227640,1,0.0334,0.726
110,Life Is A Highway,Mad Mad World (Deluxe),Tom Cochrane,1991-09-19,266080,1,0.0457,0.683,0.897,5.18e-06,0.286,-3.455,0.0465,103.051,0,11,266080,1,0.0465,0.752
111,Alive,Ten,Pearl Jam,1991-08-27,340907,1,0.00752,0.284,0.875,0.000461,0.402,-6.069,0.0422,75.009,0,10,340907,0,0.0422,0.595
112,Mysterious Ways,Achtung Baby (Deluxe Edition),U2,1991-11-18,243586,1,0.00156,0.674,0.659,0.00765,0.108,-8.049,0.0277,99.768,0,7,243587,1,0.0277,0.697
113,Stars,Stars (Collector's Edition),Simply Red,1991,248599,1,0.154,0.716,0.818,0.000806,0.236,-7.456,0.0256,103.668,0,4,248600,1,0.0256,0.817
114,Mustang Sally,The Commitments,The Commitments,1991-01-01,241866,1,0.011,0.744,0.735,0.0,0.0564,-10.766,0.0587,115.062,0,7,241867,1,0.0587,0.891
115,Joyride,Joyride (Extended Version),Roxette,1991-04-02,263093,1,0.0457,0.631,0.77,0.0,0.481,-5.315,0.0267,102.348,0,8,263093,1,0.0267,0.734
116,Can't Stop This Thing We Started,Waking Up The Neighbours,Bryan Adams,1991-09-24,269093,1,0.021,0.536,0.876,0.0,0.571,-6.887,0.0386,113.026,0,5,269093,1,0.0386,0.54
117,It Ain't Over 'Til It's Over,Mama Said,Lenny Kravitz,1991-04-02,242640,1,0.422,0.679,0.568,0.00928,0.322,-10.74,0.0423,159.69,0,7,242640,1,0.0423,0.93
118,The Shoop Shoop Song (It's In His Kiss),Love Hurts,Cher,1991-06-11,170000,1,0.467,0.678,0.61,0.0,0.397,-10.509,0.0306,117.04,0,11,170000,1,0.0306,0.919
119,Disappear,X (Remastered),INXS,1990,249053,1,0.00989,0.637,0.821,2.78e-06,0.0799,-5.477,0.0393,125.079,0,5,249053,1,0.0393,0.814
120,I Can't Make You Love Me,Luck Of The Draw,Bonnie Raitt,1991-01-01,332960,1,0.846,0.588,0.149,9.65e-05,0.236,-16.728,0.0319,124.689,0,4,332960,0,0.0319,0.113
121,Hole Hearted,Extreme II - Pornograffitti,Extreme,1990-01-01,219400,0,0.163,0.583,0.742,0.0,0.0715,-9.42,0.0332,101.854,0,7,219400,1,0.0332,0.704
122,God Gave Rock 'N' Roll To You II - Live/1992,Bill & Ted's Bogus Journey,Various Artists,1991-01-01,322000,0,0.0298,0.452,0.547,0.0,0.193,-11.363,0.0402,143.839,0,7,322000,0,0.0402,0.362
123,Unbelievable,Schubert Dip,EMF,1991-05-07,209813,1,0.000339,0.636,0.848,0.0402,0.141,-6.854,0.0362,104.073,0,7,209813,1,0.0362,0.934
124,Cream - Without Rap Monologue,Diamonds and Pearls,Prince,1991-10-01,253373,1,0.103,0.852,0.591,0.421,0.0468,-8.668,0.0675,115.592,0,11,253373,0,0.0675,0.826
125,No Son Of Mine - Remastered 2007,We Can't Dance,Genesis,1991-11-11,400093,1,0.153,0.659,0.594,0.000554,0.109,-8.567,0.0252,103.993,0,8,400093,0,0.0252,0.229
126,Silent Lucidity - Remastered 2003,Empire - 20th Anniversary Edition,Queensrÿche,1990,347760,1,0.0534,0.462,0.628,0.00025,0.12,-5.659,0.0274,140.049,0,4,347760,1,0.0274,0.0981
127,(Everything I Do) I Do It For You,Waking Up The Neighbours,Bryan Adams,1991-09-24,393640,1,0.0805,0.533,0.36,1.03e-05,0.0631,-12.633,0.0282,131.229,0,7,393640,1,0.0282,0.299
128,Black or White,Dangerous,Michael Jackson,1991-11-13,254933,1,0.174,0.518,0.901,0.0314,0.0712,-3.749,0.093,115.026,0,5,254933,1,0.093,0.873
129,Live And Let Die,Use Your Illusion I,Guns N' Roses,1991-09-17,182733,1,0.0109,0.262,0.777,0.113,0.12,-8.671,0.0632,152.5,0,10,182733,1,0.0632,0.264
130,Let There Be Love - 2002 Digital Remaster,Real Life,Simple Minds,1991-04-08,309426,1,0.0799,0.493,0.881,0.0787,0.129,-6.314,0.0418,88.07,0,7,309427,1,0.0418,0.595
131,I'm Too Sexy,Up,Right Said Fred,1992-01-07,170466,1,4.91e-05,0.683,0.739,0.0122,0.293,-12.831,0.0495,122.113,0,10,170467,0,0.0495,0.836
132,Any Dream Will Do,Joseph And The Amazing Technicolor Dreamcoat,Andrew Lloyd Webber,1991-01-01,234440,1,0.252,0.804,0.475,0.0151,0.112,-11.148,0.0359,125.768,0,11,234440,1,0.0359,0.743
133,How Do You Do!,Tourism (Extended Version),Roxette,1992-08-31,189093,1,0.0194,0.619,0.72,1.68e-06,0.218,-6.584,0.0275,120.874,0,11,189093,1,0.0275,0.852
134,Heavy Fuel,On Every Street,Dire Straits,1991-09-10,309866,1,0.0164,0.616,0.813,0.0498,0.235,-8.069,0.0275,131.99,0,5,309867,1,0.0275,0.778
135,You,You,Ten Sharp,1991,272983,1,0.426,0.405,0.901,0.0185,0.188,-7.905,0.0315,174.041,0,10,272984,0,0.0315,0.666
136,Justified & Ancient,Solid State Logik 1,The KLF,2021-01-01,228372,1,0.00276,0.628,0.953,0.0132,0.427,-4.989,0.0626,111.134,0,9,228372,0,0.0626,0.515
137,Senza Una Donna - Without A Woman,ZU & Co.,Zucchero,2004-01-01,270866,0,0.125,0.71,0.5,4.19e-06,0.432,-6.418,0.0372,79.01,0,5,270867,1,0.0372,0.413
138,Crazy,Seal,Seal,1991-06-11,268040,1,0.408,0.633,0.846,0.00341,0.11,-6.744,0.0426,102.871,0,8,268040,0,0.0426,0.899
139,Saltwater,Help Yourself,Julian Lennon,1991-01-01,247093,0,0.619,0.199,0.215,1.79e-06,0.112,-15.643,0.0285,67.958,0,5,247093,1,0.0285,0.118
140,Fading Like A Flower (Every Time You Leave),Joyride (Extended Version),Roxette,1991-04-02,230680,1,0.195,0.609,0.668,0.0,0.219,-5.738,0.026,105.419,0,11,230680,1,0.026,0.319
141,All This Time,The Soul Cages,Sting,1991,294333,0,0.0852,0.637,0.463,0.000132,0.0483,-13.122,0.0337,127.084,0,8,294333,1,0.0337,0.451
142,Knockin' On Heaven's Door,Use Your Illusion II,Guns N' Roses,1991-09-18,336000,1,0.0211,0.496,0.739,0.00444,0.106,-7.193,0.0415,132.41,0,7,336000,1,0.0415,0.378
143,Pandora's Box,Sugar Tax,Orchestral Manoeuvres In The Dark,1991-05-07,249173,1,0.0439,0.596,0.93,0.0773,0.288,-12.126,0.0393,121.819,0,5,249173,0,0.0393,0.822
144,Where the Streets Have No Name (I Can't Take My Eyes off You) - 2003 Remaster,PopArt: The Hits,Pet Shop Boys,2003,272373,0,0.0115,0.493,0.978,0.154,0.109,-6.37,0.0763,128.288,0,11,272373,0,0.0763,0.183
